KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
348,0.001439416,91,142,16658,17222,TRUE,TRUE
349,0.001456806,34,114,16027,16912,FALSE,FALSE
350,0.001428016,123,190,17014,17755,FALSE,FALSE
351,0.001083245,64,133,13242,13991,FALSE,FALSE
352,0.001054803,125,166,13903,14348,TRUE,TRUE
353,0.001107255,54,134,13133,14002,FALSE,FALSE
354,0.001073856,68,143,13285,14099,FALSE,FALSE
355,0.001081923,82,166,13437,14349,FALSE,FALSE
356,0.001068162,45,121,13036,13861,FALSE,FALSE
357,0.001071998,83,147,13448,14142,FALSE,FALSE
358,0.001093066,97,136,13600,14023,TRUE,TRUE
359,0.001083283,81,161,13426,14295,FALSE,FALSE
360,9.52E-04,133,172,10532,10946,TRUE,TRUE
361,9.28E-04,131,164,10511,10861,TRUE,TRUE
362,9.68E-04,56,139,9713,10595,FALSE,FALSE
363,9.45E-04,41,123,9554,10425,FALSE,FALSE
364,9.47E-04,75,109,9915,10276,TRUE,TRUE
365,9.54E-04,190,242,11136,11688,TRUE,TRUE
366,9.45E-04,82,118,9990,10372,TRUE,TRUE
367,9.49E-04,72,117,9883,10361,TRUE,TRUE
368,9.51E-04,80,111,9968,10297,TRUE,TRUE
369,9.47E-04,78,120,9947,10393,TRUE,TRUE
370,0.001329677,62,136,10945,11737,FALSE,FALSE
371,0.001300255,62,95,10946,11296,FALSE,TRUE
372,0.00130782,79,102,11128,11374,TRUE,TRUE
373,0.001338087,100,140,11352,11780,TRUE,TRUE
374,0.001345647,91,154,11256,11930,TRUE,TRUE
375,0.001326596,73,153,11063,11919,FALSE,FALSE
376,0.001323811,112,192,11480,12336,TRUE,TRUE
377,0.001334609,75,160,11084,11993,FALSE,FALSE
378,0.001347652,47,89,10785,11234,TRUE,TRUE
379,0.001341546,21,99,10507,11341,FALSE,FALSE
380,0.001066345,106,132,7478,7749,TRUE,TRUE
381,0.001060746,97,132,7384,7749,TRUE,TRUE
382,0.00106681,79,157,7196,8010,FALSE,FALSE
383,0.001125363,50,143,14421,15439,TRUE,TRUE
384,0.001097975,83,165,14782,15680,FALSE,FALSE
385,0.00110461,130,212,15296,16194,FALSE,FALSE
386,0.001124386,60,142,14530,15427,TRUE,TRUE
387,0.001117979,68,152,14618,15537,FALSE,FALSE
388,0.001128782,104,157,15012,15592,TRUE,TRUE
389,0.001105342,78,114,14727,15121,TRUE,TRUE
390,0.001135656,108,149,15055,15504,TRUE,TRUE
391,0.001141686,121,177,15197,15810,TRUE,TRUE
392,0.001144425,63,136,14563,15362,TRUE,TRUE
393,0.001319994,12,40,5838,6128,TRUE,TRUE
394,0.001426837,54,134,6273,7104,FALSE,FALSE
395,0.001417798,85,160,6595,7374,FALSE,FALSE
396,0.001400431,76,117,6501,6927,TRUE,TRUE
397,0.001209219,112,134,11664,11896,FALSE,TRUE
